IbgeCityKey;IbgeCityHash
4205704;sc_garopaba
4206009;sc_governador_celso_ramos
4207007;sc_icara
4207304;sc_imbituba
4208203;sc_itajai
4208302;sc_itapema
4208450;sc_itapoa
4208807;sc_jaguaruna
4209409;sc_laguna
4211306;sc_navegantes
4211900;sc_palhoca
4212254;sc_passo_de_torres
4212304;sc_paulo_lopes
4212502;sc_penha
4212809;sc_balneario_picarras
4213500;sc_porto_belo
4216206;sc_sao_francisco_do_sul
4216602;sc_sao_jose
4218004;sc_tijucas
4300851;rs_arambare
4301057;rs_arroio_do_sal
4301636;rs_balneario_pinhal
4301909;rs_barra_do_ribeiro
4303509;rs_camaqua
4304630;rs_capao_da_canoa
4304671;rs_capivari_do_sul
4305454;rs_cidreira
4306767;rs_eldorado_do_sul
4309308;rs_guaiba
4310330;rs_imbe
4312500;rs_mostardas
4313508;rs_osorio
4313656;rs_palmares_do_sul
4314407;rs_pelotas
4314902;rs_porto_alegre
4315602;rs_rio_grande
4317301;rs_santa_vitoria_do_palmar
4318507;rs_sao_jose_do_norte
4318804;rs_sao_lourenco_do_sul
4321105;rs_tapes
4321352;rs_tavares
4321436;rs_terra_de_areia
4321501;rs_torres
4321600;rs_tramandai
4322327;rs_turucu
4323002;rs_viamao
4323804;rs_xangri_la
