MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Sudeste;SP;Cavernas da Mata Atlântica;Ribeirão Grande;3543253;11;2;818;14.569; R$ -   ;D
Sudeste;SP;Caminhos da Mogiana;Sales Oliveira;3544905;5;2;0;0; R$ -   ;D
Sudeste;SP;Angra Doce Paulista;Timburi;3554607;0;0;0;0; R$ -   ;D
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;Terra Roxa;4127403;3;1;0;0; R$ -   ;D
Sul;RS;Uva e Vinho;André da Rocha;4300661;0;0;0;2.236; R$ -   ;D
Norte;PA;Região Turística do Alto Tapajós;Aveiro;1501006;0;0;0;0; R$ -   ;E
Nordeste;RN;Polo Serrano;Marcelino Vieira;2407302;0;0;0;0; R$ -   ;E
Sul;RS;Rota Águas e Pedras;Rodeio Bonito;4315909;5;2;0;0; R$ -   ;D
Sul;RS;Rota do Yucumã;São Martinho;4319109;0;0;91;0; R$ -   ;D
Sul;RS;Vale Germânico;Sapiranga;4319901;23;4;773;24.956; R$ -   ;D
Sul;RS;Vale do Rio Pardo;Sinimbu;4320677;0;1;122;0; R$ -   ;D
Sul;MS;Grande Dourados;Fátima do Sul;5003801;11;3;120;12.565; R$ -   ;D
Centro-Oeste;GO;Região Turística Lagos do Paranaíba;Três Ranchos;5221304;0;1;0;16.878; R$ -   ;D
Sul;PR;Ecoaventuras, Histórias e Sabores;Fênix;4107702;8;1;0;0; R$ -   ;D
Sul;SC;Encantos do Sul SC;Jaguaruna;4208807;6;2;1.598;20.944; R$ -   ;D
Sul;SC;Encantos do Sul SC;Lauro Muller;4209607;0;0;0;13.933; R$ -   ;D
Sul;SC;Encantos do Sul SC;Orleans;4211702;21;2;264;18.061; R$ -   ;D
Sul;RS;Litoral Norte Gaúcho;Terra de Areia;4321436;0;0;76;0; R$ -   ;D
Sul;MS;Rota Cerrado Pantanal;Paraíso das Águas;5006275;2;1;0;0; R$ -   ;D
Sudeste;MG;Lago de Irapé;Santo Antônio do Retiro;3160454;0;0;0;0; R$ -   ;E
Sudeste;SP;Lagos do Rio Grande;Aramina;3503000;5;1;0;0; R$ -   ;D
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Cordeirópolis;3512407;6;1;0;0; R$ -   ;D
Sul;SC;Serra Catarinense;Anita Garibaldi;4201000;3;2;0;11.214; R$ -   ;D
Sul;SC;Vale dos Imigrantes;Arroio Trinta;4201604;2;1;0;0; R$ -   ;D
Sul;SC;Grande Oeste;Coronel Freitas;4204400;1;1;0;9.881; R$ -   ;D
Sul;SC;Caminho dos Príncipes;Corupá;4204509;13;1;224;27.967; R$ -   ;D
Sul;SC;Caminhos da Fronteira;Itapiranga;4208401;9;2;326;16.013; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;José Boiteux;4209151;0;0;0;11.862; R$ -   ;D
Sul;SC;Caminhos do Contestado;Major Vieira;4210308;0;0;0;0; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Rio do Campo;4214508;3;1;0;24.369; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Santa Terezinha;4215679;1;1;0;14.888; R$ -   ;D
Sul;SC;Caminho dos Príncipes;Schroeder;4217402;0;1;0;8.042; R$ -   ;D
Sul;SC;Caminhos do Alto Vale;Taió;4217808;11;2;117;35.613; R$ -   ;D
