MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Nova Mutum;5106224;89;14;0;15.309;R$708.887,00;C
Nordeste;MA;Polo Lagos e Campos Floridos;Cajapió;2102408;0;0;0;1.376; R$ -   ;D
Sudeste;MG;Caminhos da Mantiqueira;Brazópolis;3108909;6;3;0;25.587; R$ -   ;D
Sudeste;MG;Ouro;Caeté;3110004;310;11;0;23.757;R$4.944.942,00;B
Sudeste;MG;Pedras Preciosas;Catuji;3115458;0;0;149;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;Dores de Guanhães;3123106;5;1;0;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;José Raydan;3136553;0;0;0;4.335; R$ -   ;D
Sudeste;SP;Região Turística Histórias e Vales;Pirassununga;3539301;62;7;292;41.691;R$746.300,00;C
Sudeste;SP;Entre Rios, Serras  e Cafés.;São João da Boa Vista;3549102;62;10;691;48.602;R$673.370,00;C
Sudeste;SP;Circuito das Frutas;Valinhos;3556206;75;6;2.998;8.223;R$2.572.583,00;C
Sudeste;SP;ABC Tur - Rota da Natureza e da Indústria;Ribeirão Pires;3543303;34;1;398;52.008; R$ -   ;C
Norte;TO;Vale dos Grandes Rios;Palmeiras do Tocantins;1713809;0;0;0;14.505; R$ -   ;D
Nordeste;PE;HISTÓRIA E MAR;Recife;2611606;2.695;117;124.979;3.715.522;R$36.669.581,00;A
Nordeste;AL;Costa dos Corais;Maragogi;2704500;1.276;36;19.347;297.357;R$24.773.850,00;A
Nordeste;SE;Polo Costa dos Coqueirais;Aracaju;2800308;1.888;100;16.161;1.112.959;R$14.947.276,00;A
Nordeste;BA;Costa do Dendê;Cairu;2905404;981;123;93.253;125.021;R$9.104.867,00;A
Nordeste;BA;Costa dos Coqueiros;Mata de São João;2921005;6.171;58;80.017;228.922;R$103.063.849,00;A
Nordeste;BA;Costa do Descobrimento;Porto Seguro;2925303;5.046;318;64.066;1.192.038;R$66.832.312,00;A
Nordeste;BA;Baía de Todos os Santos;Salvador;2927408;4.834;267;326.169;4.262.041;R$40.060.869,00;A
Sudeste;MG;Caminhos Gerais;Poços de Caldas;3151800;1.318;53;6.355;434.995;R$15.717.525,00;A
Sudeste;MG;Alta Mogiana;Uberlândia;3170206;907;54;18.732;584.716;R$15.911.440,00;A
Sudeste;RJ;COSTA VERDE;Angra dos Reis;3300100;612;89;157.173;841.279;R$13.815.002,00;A
Sudeste;RJ;COSTA DO SOL;Armação dos Búzios;3300233;2.374;209;320.320;671.819;R$32.816.709,00;A
Sudeste;RJ;COSTA DO SOL;Macaé;3302403;1.275;59;15.241;486.356;R$8.103.191,00;A
Sudeste;RJ;SERRA VERDE IMPERIAL;Petrópolis;3303906;988;82;15.066;202.749;R$10.868.253,00;A
Sudeste;RJ;METROPOLITANA;Rio de Janeiro;3304557;17.946;431;1.651.696;7.119.416;R$402.199.318,00;A
Sudeste;SP;Fé;Aparecida;3502507;1.451;175;4.053;1.208.586;R$11.472.737,00;A
Sudeste;SP;MANTIQUEIRA PAULISTA;Campos do Jordão;3509700;1.422;137;8.548;550.468;R$21.687.100,00;A
Sudeste;SP;Costa da Mata Atlântica;Guarujá;3518701;1.376;73;29.526;1.225.406;R$12.769.869,00;A
Sudeste;SP;Litoral Norte de São Paulo;Ilhabela;3520400;1.345;114;22.954;175.100;R$13.779.198,00;A
Sudeste;SP;Caminhos da Mogiana;Ribeirão Preto;3543402;976;72;21.292;923.926;R$15.094.265,00;A
Sudeste;SP;Costa da Mata Atlântica;Santos;3548500;949;52;49.802;1.216.191;R$13.531.092,00;A
Sudeste;SP;Litoral Norte de São Paulo;Ubatuba;3555406;1.400;169;38.475;1.069.658;R$10.149.224,00;A
Sul;PR;Cataratas do Iguaçu e Caminhos ao Lago de Itaipu;Foz do Iguaçu;4108304;5.044;151;595.662;1.107.641;R$96.013.669,00;A
Sul;SC;Costa Verde & Mar;Balneário Camboriú;4202008;2.411;117;186.983;1.640.662;R$46.332.532,00;A
Sul;SC;Costa Verde & Mar;Bombinhas;4202453;995;132;245.813;395.872;R$11.468.537,00;A
Sul;SC;Costa Verde & Mar;Itapema;4208302;214;17;149.126;574.437;R$1.522.182,00;A
Sul;SC;Caminho dos Príncipes;Joinville;4209102;681;46;21.027;618.768;R$27.546.914,00;A
Sul;RS;Porto Alegre ;Porto Alegre;4314902;2.875;133;176.836;3.020.513;R$59.776.547,00;A
Sul;MS;Caminho dos Ipês;Campo Grande;5002704;1.050;77;35.350;860.874;R$9.635.777,00;A
Centro-Oeste;MT;Região Turística Metropolitana;Cuiabá;5103403;1.257;77;22.923;1.099.626;R$10.931.688,00;A
Centro-Oeste;GO;Região Turística das Águas Quentes;Caldas Novas;5204508;2.457;74;9.963;2.018.964;R$32.106.597,00;A
Norte;RO;Polo Turistico Madeira Mamoré;Porto Velho;1100205;550;68;5.512;494.534;R$4.474.482,00;A
Norte;AC;Conheça Rio Branco;Rio Branco;1200401;376;30;4.602;464.108;R$2.845.034,00;A
Norte;AM;Polo Amazônico;Manaus;1302603;1.023;85;88.470;1.472.775;R$20.294.906,00;A
Norte;RR;Roraima, a Savana Amazônica;Boa Vista;1400100;272;26;9.669;475.033;R$2.432.889,00;A
Norte;PA;Região Turística de Belém;Belém;1501402;1.436;90;43.143;1.402.632;R$14.230.134,00;A
Sudeste;ES;Metropolitana;Vitória;3205309;546;31;55.348;1.107.558;R$8.396.753,00;A
Centro-Oeste;GO;Região Turística das Águas Quentes;Rio Quente;5218789;2.037;3;220;122.356; R$ -   ;A
Norte;PA;Região Turística do Araguaia;Redenção;1506138;70;14;775;104.731;R$548.940,00;B
Norte;PA;Região Turística Amazônia Atlântica Caeté;Salinópolis;1506203;154;14;2.675;199.316;R$965.402,00;B
Norte;TO;Vale dos Grandes Rios;Araguaína;1702109;181;30;1.837;235.167;R$1.640.138,00;B
Norte;TO;Ilha do Bananal;Gurupi;1709500;135;18;478;102.406;R$757.828,00;B
Nordeste;MA;Polo Chapada das Mesas;Balsas;2101400;133;15;285;151.181;R$680.983,00;B
Nordeste;PI;Polo Costa do Delta;Luís Correia;2205706;138;18;988;136.173;R$601.808,00;B
Nordeste;PE;HISTÓRIA E MAR;Fernando de Noronha;2605459;597;76;8.062;125.670;R$10.355.700,00;B
Nordeste;PE;SERRAS E ARTES DE PERNAMBUCO;Gravatá;2606408;323;13;634;211.852;R$2.979.984,00;B
Nordeste;PE;HISTÓRIA E MAR;Olinda;2609600;350;25;10.489;173.519;R$3.309.224,00;B
Nordeste;PE;HISTÓRICA, DOS ARRECIFES E MANGUEZAIS;São José da Coroa Grande;2613404;14;4;302;219.748; R$ -   ;B
Nordeste;AL;Agreste;Arapiraca;2700300;202;25;215;113.137;R$1.126.796,00;B
Nordeste;BA;Caminhos do Oeste;Barreiras;2903201;292;29;1.563;182.508;R$993.389,00;B
Nordeste;BA;Caminhos do Oeste;Bom Jesus da Lapa;2903904;122;26;1.002;221.079;R$611.142,00;B
Nordeste;BA;Costa dos Coqueiros;Camaçari;2905701;839;47;9.774;271.431;R$4.092.283,00;B
Nordeste;BA;Caminhos do Sudoeste;Jequié;2918001;166;19;501;232.370;R$707.352,00;B
Nordeste;BA;Chapada Diamantina;Lençóis;2919306;198;21;22.307;79.102;R$1.716.147,00;B
Nordeste;BA;Costa do Cacau;Maraú;2920700;277;44;3.731;25.132;R$1.898.584,00;B
Nordeste;BA;Costa das Baleias;Mucuri;2922003;72;19;1.356;87.456;R$708.793,00;B
Nordeste;BA;Costa das Baleias;Prado;2925501;273;49;1.506;76.429;R$2.344.797,00;B
Nordeste;BA;Costa do Dendê;Valença;2932903;100;27;1.689;123.168;R$506.061,00;B
Nordeste;BA;Caminhos do Sudoeste;Vitória da Conquista;2933307;354;30;3.348;290.748;R$2.785.303,00;B
Sudeste;MG;Terras Altas da Mantiqueira;Bocaina de Minas;3107208;109;27;354;0;R$815.103,00;B
Sudeste;MG;Serras Verdes do Sul de Minas;Camanducaia;3110509;475;85;1.363;91.323;R$4.904.223,00;B
Sudeste;MG;Águas;Caxambu;3115508;289;13;1.422;59.100;R$1.958.366,00;B
Sudeste;MG;Villas e Fazendas de Minas;Conselheiro Lafaiete;3118304;137;21;1.099;99.139;R$949.063,00;B
Sudeste;MG;Campo das Vertentes;Divinópolis;3122306;271;23;1.761;85.048;R$2.706.862,00;B
Sudeste;MG;Mata Atlântica de Minas;Ipatinga;3131307;295;22;9.884;160.172;R$2.268.039,00;B
Sudeste;MG;Caminho Novo;Juiz de Fora;3136702;682;49;10.777;323.096;R$8.954.021,00;B
Sudeste;MG;Sertão Gerais;Montes Claros;3143302;365;48;6.094;205.443;R$2.253.742,00;B
Sudeste;MG;Noroeste das Gerais e Alto Paranaíba;Paracatu;3147006;209;21;338;112.366;R$2.580.922,00;B
Sudeste;MG;Nascentes das Gerais e Canastra;Passos;3147907;163;17;1.143;97.542;R$1.249.504,00;B
Sudeste;MG;Caminhos da Mantiqueira;Pouso Alegre;3152501;328;25;2.646;134.128;R$3.306.848,00;B
Sudeste;MG;Pedras Preciosas;Teófilo Otoni;3168606;175;18;1.236;74.040;R$1.489.205,00;B
Sudeste;MG;Trilha dos Inconfidentes;Tiradentes;3168804;407;72;7.012;66.573;R$4.456.298,00;B
Sudeste;ES;Costa e da Imigração;Anchieta;3200409;112;21;448;71.353;R$876.168,00;B
Sudeste;ES;Vales e do Café;Cachoeiro de Itapemirim;3201209;149;15;1.397;113.059;R$1.379.087,00;B
Sudeste;ES;Costa e da Imigração;Piúma;3204203;30;13;420;145.517;R$65.994,00;B
Sudeste;ES;Verde e das Águas;São Mateus;3204906;148;20;1.970;122.450;R$1.064.478,00;B
Sudeste;RJ;COSTA DO SOL;Arraial do Cabo;3300258;368;46;40.933;260.542;R$4.168.108,00;B
Sudeste;RJ;BAIXADA VERDE;Duque de Caxias;3301702;298;14;1.155;103.672;R$3.907.243,00;B
Sudeste;RJ;AGULHAS NEGRAS;Itatiaia;3302254;721;98;2.916;90.194;R$6.129.579,00;B
Sudeste;RJ;SERRA VERDE IMPERIAL;Nova Friburgo;3303401;371;51;5.344;251.467;R$3.490.055,00;B
Sudeste;RJ;COSTA DO SOL;Rio das Ostras;3304524;147;38;5.394;347.607;R$1.202.230,00;B
Sudeste;RJ;BAIXADA VERDE;São João de Meriti;3305109;358;14;422;43.018;R$2.530.744,00;B
Sudeste;RJ;COSTA DO SOL;Saquarema;3305505;92;25;3.231;178.115;R$1.030.468,00;B
Sudeste;RJ;VALE DO CAFÉ;Valença;3306107;335;40;1.252;13.063;R$3.902.679,00;B
Sudeste;SP;Águas e Flores Paulista;Águas de Lindóia;3500501;985;26;1.483;142.132;R$12.739.196,00;B
Sudeste;SP;Centro Paulista;Araraquara;3503208;345;23;6.974;105.568;R$4.880.193,00;B
Sudeste;SP;Coração Paulista;Bauru;3506003;300;40;11.796;681.324;R$4.613.568,00;B
Sudeste;SP;Serra do Itaqueri;Brotas;3507902;227;27;1.531;74.532;R$2.188.140,00;B
Sudeste;SP;Mananciais, Aventura e Arte;Embu das Artes;3515004;420;9;1.245;30.225;R$6.214.128,00;B
Sudeste;SP;Caminhos do Tietê;Jaú;3525300;131;13;1.193;78.235;R$1.337.804,00;B
Sudeste;SP;Coração do Tietê;Lins;3527108;254;15;1.171;93.164;R$4.676.379,00;B
Sudeste;SP;Nascentes do Tietê;Mogi das Cruzes;3530607;410;15;5.932;119.525;R$1.699.834,00;B
Sudeste;SP;Águas Sertanejas;Olímpia;3533908;516;53;1.525;160.613;R$7.017.083,00;B
Sudeste;SP;Serra do Itaqueri;Piracicaba;3538709;373;28;9.267;201.805;R$5.002.148,00;B
Centro-Oeste;MT;Região Turística das Nascentes;Tangará da Serra;5107958;156;21;651;36.217;R$734.049,00;B
Centro-Oeste;MT;Região Turística Metropolitana;Várzea Grande;5108402;295;35;111;46.651;R$3.225.717,00;B
Centro-Oeste;GO;Região Turística dos Negócios e Tradições;Anápolis;5201108;255;25;8.401;162.029;R$3.233.772,00;B
Centro-Oeste;GO;Região Turística do Ouro e Cristais;Goianésia;5208608;109;20;584;116.190;R$488.379,00;B
Centro-Oeste;GO;Região Turística Lagos do Paranaíba;Itumbiara;5211503;227;24;950;87.054;R$2.196.980,00;B
Centro-Oeste;GO;Região Turística Pegadas no Cerrado;Rio Verde;5218805;298;32;2.334;271.653;R$2.701.698,00;B
Centro-Oeste;GO;Região Turística dos Negócios e Tradições;Trindade;5221403;105;36;544;193.242;R$546.770,00;B
Norte;RO;Polo Turistico Madeira Mamoré;Guajará-Mirim;1100106;20;8;494;34.819;R$72.309,00;C
Norte;RO;POLO TURISTICO RIOS DE RONDON;Pimenta Bueno;1100189;30;6;211;29.225; R$ -   ;C
Norte;AM;Polo Satere;Maués;1302900;7;1;126;80.326; R$ -   ;C
Norte;AM;Polo Amazônico;Presidente Figueiredo;1303536;32;9;1.813;65.356;R$100.736,00;C
Norte;AM;Polo Alto Solimões;Tabatinga;1304062;39;8;1.989;12.834;R$157.571,00;C
Norte;AM;Polo Médio Solimões;Tefé;1304203;29;6;386;24.109; R$ -   ;C
Norte;PA;Região turística do Carajás;Canaã dos Carajás;1502152;97;18;64;20.900;R$1.348.797,00;C
Norte;PA;Região Turística Amazônia Atlântica Guamá;Castanhal;1502400;93;9;952;24.729;R$941.031,00;C
Norte;PA;Região Turística do Alto Tapajós;Itaituba;1503606;98;15;1.084;37.983;R$194.928,00;C
Norte;TO;Vale dos Grandes Rios;Colinas do Tocantins;1705508;41;8;120;68.462;R$157.633,00;C
Norte;TO;Vale dos Grandes Rios;Guaraí;1709302;41;9;245;58.630;R$148.561,00;C
Norte;TO;Serras e Lago;Paraíso do Tocantins;1716109;61;12;317;29.464;R$316.775,00;C
Norte;TO;Serras e Lago;Porto Nacional;1718204;34;9;413;42.308;R$167.510,00;C
Nordeste;CE;Litoral Oeste;Amontada;2300754;22;9;3.485;19.755;R$138.226,00;C
Nordeste;CE;Litoral Extremo Oeste;Cruz;2304251;123;11;1.058;1.329;R$966.937,00;C
Nordeste;CE;Litoral Oeste;Itapipoca;2306405;23;8;229;113.113;R$163.773,00;C
Nordeste;CE;Fortaleza;Maracanaú;2307650;42;5;247;17.966;R$586.940,00;C
Nordeste;RN;Polo Costa Branca;Açu;2400208;45;10;513;4.430;R$218.959,00;C
Nordeste;RN;Polo Costa das Dunas;Parnamirim;2403251;76;14;303;84.314;R$534.516,00;C
Sudeste;SP;Pantanal Paulista;Andradina;3502101;62;8;75;49.044;R$902.620,00;C
Sudeste;SP;Caminhos do Tietê;Barra Bonita;3505302;280;9;39;24.816;R$2.603.119,00;C
Sudeste;SP;Tietê Vivo;Birigui;3506508;90;8;950;48.214;R$1.027.233,00;C
Sudeste;SP;entre serras e aguas;Bragança Paulista;3507605;121;14;3.086;27.414;R$1.532.439,00;C
Sudeste;SP;Fé;Cunha;3513603;57;15;3.240;0;R$291.295,00;C
Sudeste;SP;Altos de Paranapiacaba;Itapetininga;3522307;100;11;2.261;29.846;R$869.616,00;C
Sudeste;SP;Caminhos da Mogiana;Jaboticabal;3524303;71;9;1.648;24.906;R$525.801,00;C
Sudeste;SP;Entre Rios;Jales;3524808;49;9;275;96.954;R$323.926,00;C
Centro-Oeste;GO;Região Turística Vale da Serra da Mesa;Niquelândia;5214606;39;9;215;90.706;R$188.584,00;C
Centro-Oeste;GO;Região Turística Vale da Serra da Mesa;Porangatu;5218003;56;10;577;57.756;R$332.102,00;C
Nordeste;BA;Costa do Cacau;Itabuna;2914802;231;24;2.553;141.288;R$1.602.683,00;B
Nordeste;BA;Vale do São Francisco;Juazeiro;2918407;134;20;1.297;198.335;R$637.248,00;B
Nordeste;BA;Costa do Descobrimento;Santa Cruz Cabrália;2927705;365;27;976;13.831;R$2.793.553,00;B
Sudeste;MG;Trilhas do Rio Doce;Governador Valadares;3127701;351;30;13.613;213.306;R$3.556.495,00;B
Sudeste;MG;Serra do Cipó;Santana do Riacho;3159001;150;24;527;2.624;R$828.355,00;B
Sudeste;MG;Vale Verde e Quedas D'Água;Varginha;3170701;198;21;1.605;46.879;R$1.489.818,00;B
Sudeste;RJ;ÁGUAS DO NOROESTE;Itaperuna;3302205;251;21;1.146;175.606;R$1.693.154,00;B
Sudeste;SP;Sol do Oeste;Presidente Prudente;3541406;306;27;5.176;242.705;R$4.452.701,00;B
Sudeste;SP;Região Turística Histórias e Vales;São Carlos;3548906;286;27;10.210;163.891;R$2.687.848,00;B
Sudeste;SP;MANTIQUEIRA PAULISTA;São José dos Campos;3549904;697;59;25.942;295.005;R$8.397.833,00;B
Sudeste;SP;Serra do Itaqueri;São Pedro;3550407;302;14;1.996;17.143;R$1.684.237,00;B
Sul;RS;Uva e Vinho;Bento Gonçalves;4302105;543;17;6.627;164.856;R$7.003.433,00;B
Sul;RS;Hortênsias;Caxias do Sul;4305108;405;27;13.600;479.511;R$4.894.743,00;B
Centro-Oeste;MT;Associação de Turismo da Região Circuito das Águas - Aturcira;Chapada dos Guimarães;5103007;387;20;665;31.657;R$5.118.818,00;B
Norte;PA;Região Turística do Araguaia;São Félix do Xingu;1507300;23;8;0;131.396;R$56.090,00;C
Norte;PA;Região Turística do Araguaia;Tucumã;1508084;44;8;531;45.574;R$190.029,00;C
Nordeste;CE;Litoral Extremo Oeste;Itarema;2306553;12;6;2.640;45.282;R$55.312,00;C
Nordeste;PE;SERRAS E ARTES DE PERNAMBUCO;Bonito;2602308;55;8;121;116.617;R$180.997,00;C
Nordeste;PE;COSTA NÁUTICA COROA DO AVIÃO;Goiana;2606200;35;9;379;130.850;R$437.235,00;C
Sudeste;MG;Ouro;Congonhas;3118007;52;12;683;71.521;R$480.509,00;C
Sul;RS;Alto da Serra do Botucaraí;Soledade;4320800;31;6;318;20.624; R$ -   ;C
Norte;PA;Região turística do Carajás;Palestina do Pará;1505494;0;0;0;728; R$ -   ;D
Nordeste;BA;Caminhos do Jiquiriçá;Ubaíra;2932101;2;1;0;5.919; R$ -   ;D
Sudeste;MG;Águas;Campanha;3110905;6;4;0;2.624; R$ -   ;D
Sudeste;MG;Serra do Cipó;Itambé do Mato Dentro;3132800;2;1;0;0; R$ -   ;D
Sudeste;SP;MARAVILHAS  DO RIO GRANDE;Ouroeste;3534757;5;2;0;0; R$ -   ;D
Sul;PR;Lagos e Colinas;Candói;4104428;8;2;121;0; R$ -   ;D
Sul;RS;Alto da Serra do Botucaraí;Gramado Xavier;4309159;1;1;182;0; R$ -   ;D
Sul;RS;Costa Doce;Morro Redondo;4312450;4;1;0;14.888; R$ -   ;D
Sul;RS;Uva e Vinho;Pinto Bandeira;4314548;1;1;0;0; R$ -   ;D
Nordeste;PE;MODA E ECOTURISMO;Riacho das Almas;2611705;0;0;0;14.505; R$ -   ;D
Nordeste;SE;Polo dos Tabuleiros;Carmópolis;2801504;12;2;0;468; R$ -   ;D
Nordeste;BA;Costa do Dendê;Ituberá;2917300;11;3;66;10.600; R$ -   ;D
Nordeste;BA;Chapada Diamantina;Rio de Contas;2926707;35;6;95;0; R$ -   ;D
Sudeste;MG;Terras Altas da Mantiqueira;Pouso Alto;3152600;54;4;0;0; R$ -   ;D
Sudeste;MG;Terras Altas da Mantiqueira;São Sebastião do Rio Verde;3164902;5;1;0;0; R$ -   ;D
Sudeste;SP;História & Aventuras;Araçoiaba da Serra;3502903;14;3;149;4.510; R$ -   ;D
Sudeste;SP;Tietê Vivo;Gastão Vidigal;3516804;3;1;0;0; R$ -   ;D
Sudeste;SP;Região Turística Histórias e Vales;Santa Rita do Passa Quatro;3547502;5;3;116;4.903; R$ -   ;D
Sudeste;SP;Pólo Turístico Cuesta;São Manuel;3550100;12;3;112;0; R$ -   ;D
Sudeste;SP;TRILHOS E TRILHAS DA BAIXAMOGIANA;Estiva Gerbi;3557303;0;0;120;0; R$ -   ;D
Sul;SC;Vale Europeu;Nova Trento;4211504;23;4;0;29.457; R$ -   ;D
Sul;SC;Vale Europeu;Rio dos Cedros;4214706;6;2;121;2.260; R$ -   ;D
Sul;SC;Grande Florianópolis;São Bonifácio;4215901;0;0;124;648; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Alecrim;4300307;0;0;0;3.410; R$ -   ;D
Sul;RS;Carbonífera;General Câmara;4308805;0;0;0;14.888; R$ -   ;D
Sul;RS;Central;Júlio de Castilhos;4311205;5;1;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Tapurah;5108006;9;3;0;0; R$ -   ;D
Centro-Oeste;MT;Região Turística Portal da Amazônia;Terra Nova do Norte;5108055;2;1;0;0; R$ -   ;D
Centro-Oeste;GO;Região Turística da Estrada de Ferro;Santa Cruz de Goiás;5219209;0;1;0;0; R$ -   ;D
Centro-Oeste;GO;Região Turística do Ouro e Cristais;São Francisco de Goiás;5219902;0;1;0;0; R$ -   ;D
Norte;TO;Serras Gerais;Aurora do Tocantins;1702703;0;0;0;0; R$ -   ;E
Nordeste;PI;Polo Costa do Delta;Ilha Grande;2204659;0;0;4.834;0; R$ -   ;D
Nordeste;PI;Polo Aventura e Mistério;Pedro II;2207900;7;2;222;19.929; R$ -   ;D
Nordeste;RN;Polo Costa Branca;Carnaubais;2402501;0;0;0;6.127; R$ -   ;D
Nordeste;PB;Brejo;Alagoa Grande;2500304;3;1;77;1.215; R$ -   ;D
Nordeste;PB;Vale dos Dinossauros;Uiraúna;2516904;0;0;0;6.997; R$ -   ;D
Nordeste;PE;ÁGUAS E VINHOS DO VALE DO SÃO FRANCISCO;Cabrobó;2603009;18;4;139;3.499; R$ -   ;D
Nordeste;PE;TERRITÓRIO DA POESIA E DA CANTORIA;Tabira;2614600;7;2;0;2.733; R$ -   ;D
Nordeste;BA;Caminhos do Oeste;São Desidério;2928901;26;2;0;0; R$ -   ;D
Nordeste;BA;Baía de Todos os Santos;São Francisco do Conde;2929206;3;1;76;22.377; R$ -   ;D
Sudeste;MG;Serra do Cabral;Buenópolis;3109204;9;2;243;0; R$ -   ;D
Sudeste;MG;Nascentes das Gerais e Canastra;Cássia;3115102;3;2;258;10.109; R$ -   ;D
Sudeste;MG;Águas;Conceição do Rio Verde;3117702;2;1;233;1.688; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;Divinolândia de Minas;3122207;0;0;223;4.335; R$ -   ;D
Sudeste;MG;Lago de Furnas;Elói Mendes;3123601;10;3;91;0; R$ -   ;D
Sudeste;MG;Malhas do Sul de Minas;Jacutinga;3134905;31;5;628;0; R$ -   ;D
Sudeste;ES;Costa e da Imigração;Alfredo Chaves;3200300;4;2;0;10.907; R$ -   ;D
Sudeste;ES;Montanhas Capixabas;Brejetuba;3201159;3;2;0;0; R$ -   ;D
Sudeste;ES;Montanhas Capixabas;Castelo;3201407;30;5;278;12.031; R$ -   ;D
Sudeste;RJ;CAMINHOS DA SERRA;Carmo;3301207;5;3;0;27.911; R$ -   ;D
Sudeste;RJ;BAIXADA VERDE;Mesquita;3302858;2;1;0;5.782; R$ -   ;D
Sudeste;SP;Alta Mogiana;Altinópolis;3501004;17;6;140;4.510; R$ -   ;D
Sul;PR;Corredores das Águas;Santa Cruz de Monte Castelo;4123303;5;1;0;0; R$ -   ;D
Sul;PR;Riquezas do Oeste;Tupãssi;4127957;0;0;0;0; R$ -   ;D
Sul;SC;Caminhos da Fronteira;Guarujá do Sul;4206603;3;1;626;8.756; R$ -   ;D
Centro-Oeste;GO;Região Turística Vale do Araguaia;Baliza;5203104;1;1;0;9.134; R$ -   ;D
Nordeste;RN;Polo Costa Branca;Grossos;2404408;0;0;0;0; R$ -   ;D
Nordeste;RN;Polo Serrano;Patu;2409308;0;0;0;15.852; R$ -   ;D
Nordeste;RN;Polo Serrano;Portalegre;2410207;10;1;0;3.499; R$ -   ;D
Nordeste;PE;ÁGUAS DA MATA SUL;São Benedito do Sul;2612901;9;1;0;1.844; R$ -   ;D
Nordeste;PE;MODA E ECOTURISMO;Taquaritinga do Norte;2615003;3;2;0;903; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;Cuparaque;3120839;0;0;182;0; R$ -   ;D
Sudeste;MG;Noroeste das Gerais e Alto Paranaíba;Dom Bosco;3122470;0;0;0;6.699; R$ -   ;D
Sudeste;MG;Pico da Bandeira;Espera Feliz;3124203;15;4;400;29.043; R$ -   ;D
Sudeste;MG;Urucuia Grande Sertão;Formoso;3126208;0;0;0;0; R$ -   ;D
Sudeste;MG;Malhas do Sul de Minas;Inconfidentes;3130606;2;1;0;0; R$ -   ;D
Sudeste;RJ;CAMINHOS DA MATA;Silva Jardim;3305604;1;2;245;0; R$ -   ;D
Sul;PR;Riquezas do Oeste;Jesuítas;4112751;3;1;258;29.942; R$ -   ;D
Sul;PR;Ecoaventuras, Histórias e Sabores;Terra Boa;4127205;1;1;120;9.881; R$ -   ;D
Sul;RS;Carbonífera;Arroio dos Ratos;4301107;1;1;0;1.125; R$ -   ;D
Sul;RS;Alto da Serra do Botucaraí;Barros Cassal;4302006;1;1;77;0; R$ -   ;D
Norte;TO;Ilha do Bananal;Sandolândia;1718840;1;1;0;0; R$ -   ;D
Nordeste;CE;Chapada da Ibiapaba;Ipu;2305803;1;3;54;6.411; R$ -   ;D
Nordeste;CE;Vale do Jaguaribe;Jaguaretama;2306702;0;0;0;2.657; R$ -   ;D
Nordeste;BA;Costa do Cacau;Pau Brasil;2923902;0;0;0;3.756; R$ -   ;D
Sudeste;MG;Pedras Preciosas;Novo Cruzeiro;3145307;1;1;0;30.286; R$ -   ;D
Sudeste;MG;Vale do Jequitinhonha;Virgem da Lapa;3171600;1;2;0;11.366; R$ -   ;D
Sul;SC;Grande Oeste;Ipuaçu;4207684;3;1;0;0; R$ -   ;D
Sul;RS;Carbonífera;Butiá;4302709;19;3;1.462;0; R$ -   ;D
Sul;RS;Rota do Rio Uruguai;Três de Maio;4321808;20;3;376;14.032; R$ -   ;D
Nordeste;CE;LITORAL LESTE;Chorozinho;2303956;0;0;0;0; R$ -   ;E
Nordeste;PB;Agreste ;Queimadas;2512507;0;0;0;14.505; R$ -   ;D
Nordeste;PE;HISTÓRICA, DOS ARRECIFES E MANGUEZAIS;Sirinhaém;2614204;2;1;252;5.816; R$ -   ;D
Sudeste;MG;Pedras Preciosas;Carlos Chagas;3113701;16;5;0;2.681; R$ -   ;D
Sudeste;MG;Lago de Três Marias;Martinho Campos;3140506;9;2;182;8.671; R$ -   ;D
Sudeste;MG;Serra do Brigadeiro;Miradouro;3142106;5;1;0;8.661; R$ -   ;D
Sudeste;RJ;CAMINHOS COLONIAIS;Sapucaia;3305406;20;5;207;0; R$ -   ;D
Sudeste;SP;Região Turística Histórias e Vales;Tambaú;3553302;1;1;120;17.011; R$ -   ;D
Sul;PR;Riquezas do Oeste;Vera Cruz do Oeste;4128559;2;1;0;0; R$ -   ;D
Sul;RS;Vale do Taquari;Arroio do Meio;4301008;3;1;165;34.317; R$ -   ;D
Sul;RS;Rota do Yucumã;Chiapetta;4305405;0;0;0;14.888; R$ -   ;D
Sul;RS;Vale do Taquari;Colinas;4305587;0;0;0;6.776; R$ -   ;D
Sul;RS;Uva e Vinho;Cotiporã;4305959;0;0;0;0; R$ -   ;D
Sul;RS;Rota das Araucárias;Machadinho;4311700;6;2;0;0; R$ -   ;D
Sul;RS;Vale Germânico;Morro Reuter;4312476;2;1;92;0; R$ -   ;D
Sul;RS;Uva e Vinho;Nova Roma do Sul;4313359;2;2;0;1.125; R$ -   ;D
